CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0001,Mount Gravatt Campus,SN_P_0025,Griffith College,"Level 5, International Building M14, 176 Messines Ridge Road",Queensland,,Mount Gravatt,,4122,Brisbane,,Australia,YES,https://www.griffithcollege.edu.au/contact/,"Located on the edge of Toohey Forest with panoramic views of Brisbane, Mount Gravatt campus is the original site of Griffith College, opened in 1997. Adjacent to Griffith Nathan campus with panoramic views of Brisbane, Mount Gravatt has more than 4,000 students and offers degrees in criminology and criminal justice, education and psychology.","-27.541269, 153.062744",01737F
SN_L_0002,Footscray Nicholson Campus,SN_P_0011,Victoria University,Corner of Nicholson and Buckley Streets,Victoria,,Footscray,,3011,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.8026694, 144.8883848",00124K
SN_L_0003,Footscray Park Campus,SN_P_0011,Victoria University,70-104 Ballarat Road,Victoria,,Footscray,,3011,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.793751, 144.898590",00124K
SN_L_0004,St Albans Campus,SN_P_0011,Victoria University,McKechnie Street,Victoria,,St Albans,,3021,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.7442458, 144.7990287",00124K
SN_L_0005,Werribee Campus,SN_P_0011,Victoria University,235 Hoppers Lane,Victoria,,Werribee,,3030,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.8914116, 144.7008623",00124K
SN_L_0006,Bedford Park,SN_P_0007,Flinders University,Sturt Road,South Australia,,Bedford Park,,5042,Adelaide,,Australia,YES,https://www.flinders.edu.au/campus/bedford-park,"Located just 12km south of the centre of Adelaide, the Bedford Park campus is Flinders' main campus. It's a spacious, elevated site with panoramic views to the coast and over the city. Our Student Hub offers 24/7 study spaces and access to all student services in one convenient location.","-35.0163714, 138.5750733",00114A
SN_L_0007,SIBT Sydney campus,SN_P_0024,Sydney Institute of Business and Technology (SIBT),"Level 4, 255 Elizabeth Street",New South Wales,,Sydney,,2000,Sydney,,Australia,NO,https://www.sibt.nsw.edu.au/sibt-sydney-campus,"SIBT Sydney campus offers the convenience of being located in the heart of Sydney's central business district. It's located directly across from Hyde Park and just minutes from shopping centres, services, cafe's, and more. Plus, you're within walking distance of iconic destinations like the Sydney Opera House and Harbour Bridge, as well as all modes of transport, meaning you have easy and full access to all the best our city has to offer.

International airports near Sydney, Australia:
11 km: Sydney, Australia (SYD / YSSY) Sydney Kingsford Smith Airport.","-33.8757242, 151.209197",01576G
SN_L_0008,Perth campus,SN_P_0012,Murdoch University,90 South Street,Western Australia,,Murdoch,,6150,Perth,,Australia,YES,https://www.murdoch.edu.au/life-at-murdoch/perth-campus,"Our Perth campus is set in a beautiful bush environment and covers over 227 hectares, making it one of the largest campuses in Australia. Perth campus is located on South Street in Murdoch, close to the Kwinana Freeway and Fiona Stanley Hospital.","-32.064110, 115.829971",00125J
SN_L_0009,Mandurah campus,SN_P_0012,Murdoch University,Education Drive,Western Australia,,Mandurah,,6210,Perth,,Australia,YES,https://www.murdoch.edu.au/life-at-murdoch/perth-campus,"Our Perth campus is set in a beautiful bush environment and covers over 227 hectares, making it one of the largest campuses in Australia. Perth campus is located on South Street in Murdoch, close to the Kwinana Freeway and Fiona Stanley Hospital.","-32.515491, 115.755219",00125J
SN_L_0010,Eynesbury Franklin Street,SN_P_0018,Eynesbury College,15-19 Franklin Street,South Australia,,Adelaide,,5000,Adelaide,,Australia,YES,https://www.eynesbury.edu.au/about/campus,"Eynesbury has two campuses, both located in the center of Adelaide city, near the Chinatown and Central Market precinct. while our Franklin Street campus is for our Senior High School.","-34.927589, 138.598404",00561M
SN_L_0011,Lismore Campus,SN_P_0022,Southern Cross University,Military Road,New South Wales,,East Lismore,,2480,Gold Coast,,Australia,YES,https://www.scu.edu.au/study-at-scu/why-scu/locations/lismore/,"Southern Cross University's Lismore campus occupies 75 hectares of lush, sub-tropical grounds including landscaped gardens and rainforest walkways that are home to a variety of native wildlife.

International airports near East Lismore, Australia
101 km: Gold Coast, Australia (OOL / YBCG) Gold Coast Airport
208 km: Brisbane, Australia (BNE / YBBN) Brisbane Airport","-28.8202269, 153.2993641",01241G
SN_L_0012,Coffs Harbour Campus,SN_P_0022,Southern Cross University,Hogbin Drive,New South Wales,,Coffs Harbour,,2450,Gold Coast,,Australia,YES,https://www.scu.edu.au/study-at-scu/why-scu/locations/lismore/,"Southern Cross University's Lismore campus occupies 75 hectares of lush, sub-tropical grounds including landscaped gardens and rainforest walkways that are home to a variety of native wildlife.

International airports near East Lismore, Australia
101 km: Gold Coast, Australia (OOL / YBCG) Gold Coast Airport
208 km: Brisbane, Australia (BNE / YBBN) Brisbane Airport","-30.3043034, 153.1229072",01241G
SN_L_0013,Gold Coast Campus,SN_P_0022,Southern Cross University,Southern Cross Drive,Queensland,,Bilinga,,4225,Gold Coast,,Australia,YES,https://www.scu.edu.au/study-at-scu/why-scu/locations/lismore/,"Southern Cross University's Lismore campus occupies 75 hectares of lush, sub-tropical grounds including landscaped gardens and rainforest walkways that are home to a variety of native wildlife.

International airports near East Lismore, Australia
101 km: Gold Coast, Australia (OOL / YBCG) Gold Coast Airport
208 km: Brisbane, Australia (BNE / YBBN) Brisbane Airport","-28.16667, 153.51667",01241G
SN_L_0014,Callaghan Campus,SN_P_0005,"The University of Newcastle, Australia",University Drive,New South Wales,,Callaghan,,2308,Sydney,,Australia,YES,https://www.newcastle.edu.au/campus-life/newcastle/callaghan,"The original campus for The University of Newcastle, Australia, Callaghan is a beautiful mix of award-winning, architecturally designed buildings sitting across 140 hectares in a natural setting. Our relaxed campus environment allows you to study free from distraction.

We are equipping our campus with infrastructure that will meet the needs of our students, staff and researchers well into the future. Our ongoing investment in state-of-the-art buildings and facilities will attract the best and brightest students, researchers, academic and professional staff. A campus-wide, fibre-optic network provides excellent access to specialist and public online service.","-32.8966288, 151.7024382",00109J
SN_L_0015,Central Coast - Ourimbah Campus ,SN_P_0005,"The University of Newcastle, Australia","Q-10, Loop Rd and The Boulevarde",New South Wales,,Ourimbah,,2258,Sydney,,Australia,YES,https://www.newcastle.edu.au/campus-life/newcastle/callaghan,"The original campus for The University of Newcastle, Australia, Callaghan is a beautiful mix of award-winning, architecturally designed buildings sitting across 140 hectares in a natural setting. Our relaxed campus environment allows you to study free from distraction.

We are equipping our campus with infrastructure that will meet the needs of our students, staff and researchers well into the future. Our ongoing investment in state-of-the-art buildings and facilities will attract the best and brightest students, researchers, academic and professional staff. A campus-wide, fibre-optic network provides excellent access to specialist and public online service.","-35.3147078, 149.1330439",00109J
SN_L_0016,Newcastle City Precinct,SN_P_0005,"The University of Newcastle, Australia",Auckland Street and King Street,New South Wales,,Newcastle,,2300,Sydney,,Australia,YES,https://www.newcastle.edu.au/campus-life/newcastle/callaghan,"The original campus for The University of Newcastle, Australia, Callaghan is a beautiful mix of award-winning, architecturally designed buildings sitting across 140 hectares in a natural setting. Our relaxed campus environment allows you to study free from distraction.

We are equipping our campus with infrastructure that will meet the needs of our students, staff and researchers well into the future. Our ongoing investment in state-of-the-art buildings and facilities will attract the best and brightest students, researchers, academic and professional staff. A campus-wide, fibre-optic network provides excellent access to specialist and public online service.","-32.9290393, 151.7707186",00109J
SN_L_0017,Albury-Wodonga ,SN_P_0002,Charles Sturt University,"386 Elizabeth Mitchell Drive, Thurgoona",New South Wales,,Thurgoona,,2640,Melbourne,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-36.0657019, 146.9755163",00005F
SN_L_0018,Bathurst,SN_P_0002,Charles Sturt University,Panorama Avenue,New South Wales,,Bathurst,,2795,Sydney,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-33.4280978, 149.5672052",00005F
SN_L_0019,Canberra,SN_P_0002,Charles Sturt University,15 Blackall Street,Australian Capital Territory,,Barton,,2601,Sydney,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-35.305280, 149.137430",00005F
SN_L_0020,Dubbo,SN_P_0002,Charles Sturt University,Tony McGrane Place,New South Wales,,Dubbo,,2830,Sydney,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-32.2362131, 148.6292874",00005F
SN_L_0021,Orange,SN_P_0002,Charles Sturt University,346 Leeds Parade,New South Wales,,Orange,,2800,Sydney,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-33.2765796, 149.1072393",00005F
SN_L_0022,"United Theological College, Parramatta",SN_P_0002,Charles Sturt University,16 Masons Drive,New South Wales,,North Parramatta,,2151,Sydney,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-33.7910773, 151.0167006",00005F
SN_L_0023,Wagga Wagga ,SN_P_0002,Charles Sturt University,Boorooma Street,New South Wales,,North Wagga,,2678,Melbourne,,Australia,YES,https://about.csu.edu.au/locations/campuses/albury-wodonga,"CSU's Albury-Wodonga Campus was designed with sustainability in mind. Its buildings feature many environmentally sensitive features to minimise the use of heating and cooling. Ecologically significant wetlands and a huge variety of native flora and fauna can also be seen on the campus. A small and friendly campus environment means you will meet other students from a range of courses and feel part of a close-knit community.

International airports near Albury, Australia:
304 km: Melbourne, Australia (MEL / YMML) Melbourne Airport.","-35.0656615, 147.3597963",00005F
SN_L_0024,Townsville,,James Cook University,1 James Cook Drive Douglas,Queensland,,Townsville,,4811,Cairns,,Australia,YES,https://www.jcu.edu.au/about-jcu/campuses/townsville,"JCU Townsville houses teaching and research facilities, the main JCU library, cafes, bars, fitness and sporting facilities and a wealth of student clubs and societies.","-19.326380, 146.757095",00117J
SN_L_0025,Cairns,,James Cook University,"14-88 McGregor Road Smithfield,",Queensland,,Cairns,,4878,Cairns,,Australia,YES,https://www.jcu.edu.au/about-jcu/campuses/townsville,"JCU Townsville houses teaching and research facilities, the main JCU library, cafes, bars, fitness and sporting facilities and a wealth of student clubs and societies.","-16.823570, 145.705990",00117J
SN_L_0026,Melbourne,SN_P_0023,Australian College of Applied Professions (ACAP),123 Lonsdale Street,Victoria,,Melbourne,,3000,Melbourne,,Australia,NO,https://www.acap.edu.au/campuses/melbourne/,"ACAP's Melbourne campus is conveniently located on Lonsdale street in the heart of the Melbourne CBD (Central Business District), located near Chinatown and just a 5 minute walk to Melbourne's Greek precinct and close to shops, cafes and restaurants. ACAP's Melbourne campus is also easy to access via public transport.","-37.810640, 144.968630",01328A
SN_L_0027,Sydney,SN_P_0023,Australian College of Applied Professions (ACAP),255 Elizabeth Street,New South Wales,,Sydney,,2000,Sydney,,Australia,NO,https://www.acap.edu.au/campuses/melbourne/,"ACAP's Melbourne campus is conveniently located on Lonsdale street in the heart of the Melbourne CBD (Central Business District), located near Chinatown and just a 5 minute walk to Melbourne's Greek precinct and close to shops, cafes and restaurants. ACAP's Melbourne campus is also easy to access via public transport.","-33.875710, 151.209200",01328A
SN_L_0028,Brisbane,SN_P_0023,Australian College of Applied Professions (ACAP),"East Tower, 410 Ann Street",Queensland,,Brisbane,,4000,Brisbane,,Australia,NO,https://www.acap.edu.au/campuses/melbourne/,"ACAP's Melbourne campus is conveniently located on Lonsdale street in the heart of the Melbourne CBD (Central Business District), located near Chinatown and just a 5 minute walk to Melbourne's Greek precinct and close to shops, cafes and restaurants. ACAP's Melbourne campus is also easy to access via public transport.","-27.463490, 153.028990",01328A
SN_L_0029,Curtin Bentley Campus,SN_P_0026,Curtin College,"Building 205, Kent Street",Western Australia,,Bentley,,6102,Perth,,Australia,YES,https://www.curtincollege.edu.au/about-curtin-college/contact/,"Curtin College is located in the heart of the Curtin University campus, Building 205. The campus is just six kilometres from the centre of Perth and is easily accessible by public transport.

International airports near Perth, Australia:
21 km: Perth, Australia (PER / YPPH) Perth Airport.","-32.001820, 115.887500",02042G
SN_L_0030,Melbourne (City),SN_P_0008,La Trobe University,360 Collins Street,Victoria,,Melbourne,,3000,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-37.8165167, 144.9622936",00115M
SN_L_0031,Albury-Wodonga ,SN_P_0008,La Trobe University,"University Drive, Wodong",Victoria,,Melbourne,,3689,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-36.112120, 146.849240",00115M
SN_L_0032,Bendigo Campus,SN_P_0008,La Trobe University,"Edwards Road, Flora Hill",Victoria,,Melbourne,,3552,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-36.7582, 144.2802",00115M
SN_L_0033,Mildura Campus,SN_P_0008,La Trobe University,471 Benetook Avenue,Victoria,,Melbourne,,3500,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-34.2677562, 142.0924203",00115M
SN_L_0034,Shepparton Campus,SN_P_0008,La Trobe University,210 Fryers Street,Victoria,,Melbourne,,3630,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-36.4681, 145.586",00115M
SN_L_0035,Bankstown,SN_P_0021,Western Sydney University,Corner of Horsley Road and Bullecourt Avenue,New South Wales,,Sydney,,2214,Sydney,,Australia,YES,https://www.westernsydney.edu.au/future/our-campuses/bankstown-campus,"Our Bankstown campus offers you state-of-the-art computer labs and study areas, great cafes and on-campus activities, plus a full range of student services.","-33.865143, 151.209900",00917K
SN_L_0036,Campbelltown,SN_P_0021,Western Sydney University,Corner of Narellan Road and Gilchrist Drive,New South Wales,,Sydney,,2560,Sydney,,Australia,YES,https://www.westernsydney.edu.au/future/our-campuses/bankstown-campus,"Our Bankstown campus offers you state-of-the-art computer labs and study areas, great cafes and on-campus activities, plus a full range of student services.","-34.0636914, 150.8206159",00917K
SN_L_0037,Hawkesbury,SN_P_0021,Western Sydney University,"Bourke St, Richmond",New South Wales,,Richmond,,2753,Sydney,,Australia,YES,https://www.westernsydney.edu.au/future/our-campuses/bankstown-campus,"Our Bankstown campus offers you state-of-the-art computer labs and study areas, great cafes and on-campus activities, plus a full range of student services.","-33.6015073, 150.7587999",00917K
SN_L_0038,Parramatta South,SN_P_0021,Western Sydney University,"Victoria Road, Rydalmere, Parramatta",New South Wales,,Sydney,,2116,Sydney,,Australia,YES,https://www.westernsydney.edu.au/future/our-campuses/bankstown-campus,"Our Bankstown campus offers you state-of-the-art computer labs and study areas, great cafes and on-campus activities, plus a full range of student services.","-33.8126542, 151.0437702",00917K
SN_L_0039,Melbourne Campus (Bundoora),SN_P_0008,La Trobe University,Plenty Road,Victoria,,Melbourne,,3086,Melbourne,,Australia,YES,https://www.latrobe.edu.au/city,"Located in the heart of Melbourne's central business district, the Campus gives you easy access to work and internship opportunities, cultural events, restaurants, bars and shopping.

Our campus offers postgraduate courses in business, health or law.

Access our facilities, including modern learning spaces and meeting rooms catering for a wide range of events, conferences, meetings and conventions.","-37.7173, 145.0826",00115M
SN_L_0040,Wollongong Campus,SN_P_0003,"University of Wollongong, Australia",Northfields Avenue,New South Wales,,Wollongong,,2522,Sydney,,Australia,YES,https://www.uow.edu.au/about/locations/wollongong/,UOW's main Wollongong campus is set in native Australian bush and is one of the most picturesque university campuses in Australia.,"-34.4076534, 150.8749909",00102E
SN_L_0041,Geelong Waurn Ponds Campus,SN_P_0006,Deakin University,75 Pigdons Road,Victoria,,Waurn Ponds,,3216,Melbourne,,Australia,YES,https://www.deakin.edu.au/locations/geelong-waurn-ponds-campus,"Established in a rural setting, with surf beaches and the famous Twelve Apostles at its doorstep, our Geelong Waurn Ponds Campus is loved by students and nature-enthusiasts alike. Juxtapositioned with some of the most advanced research facilities in the world, it's a truly unique and inspiring campus.

On first appearance, our Geelong Waurn Ponds Campus is a vast, lush green space dotted with curiously futuristic buildings. Look closer and you'll find a friendly community of students and staff who shape the vibrant, inclusive and stimulating learning environment.","-38.195801, 144.304642",00113B
SN_L_0042,Melbourne Burwood Campus,SN_P_0006,Deakin University,221 Burwood Highway,Victoria,,Burwood,,3125,Melbourne,,Australia,YES,https://www.deakin.edu.au/locations/geelong-waurn-ponds-campus,"Established in a rural setting, with surf beaches and the famous Twelve Apostles at its doorstep, our Geelong Waurn Ponds Campus is loved by students and nature-enthusiasts alike. Juxtapositioned with some of the most advanced research facilities in the world, it's a truly unique and inspiring campus.

On first appearance, our Geelong Waurn Ponds Campus is a vast, lush green space dotted with curiously futuristic buildings. Look closer and you'll find a friendly community of students and staff who shape the vibrant, inclusive and stimulating learning environment.","-37.849689, 145.114517",00113B
SN_L_0043,Geelong Waterfront Campus,SN_P_0006,Deakin University,1 Gheringhap Street,Victoria,,Geelong,,3220,Melbourne,,Australia,YES,https://www.deakin.edu.au/locations/geelong-waurn-ponds-campus,"Established in a rural setting, with surf beaches and the famous Twelve Apostles at its doorstep, our Geelong Waurn Ponds Campus is loved by students and nature-enthusiasts alike. Juxtapositioned with some of the most advanced research facilities in the world, it's a truly unique and inspiring campus.

On first appearance, our Geelong Waurn Ponds Campus is a vast, lush green space dotted with curiously futuristic buildings. Look closer and you'll find a friendly community of students and staff who shape the vibrant, inclusive and stimulating learning environment.","-38.143300, 144.360390",00113B
SN_L_0044,Warrnambool Campus,SN_P_0006,Deakin University,Princes Highway,Victoria,,Warrnambool,,3280,Melbourne,,Australia,YES,https://www.deakin.edu.au/locations/geelong-waurn-ponds-campus,"Established in a rural setting, with surf beaches and the famous Twelve Apostles at its doorstep, our Geelong Waurn Ponds Campus is loved by students and nature-enthusiasts alike. Juxtapositioned with some of the most advanced research facilities in the world, it's a truly unique and inspiring campus.

On first appearance, our Geelong Waurn Ponds Campus is a vast, lush green space dotted with curiously futuristic buildings. Look closer and you'll find a friendly community of students and staff who shape the vibrant, inclusive and stimulating learning environment.","-38.385189, 142.535461",00113B
